source,title,authors,year,doi,url
Scopus,DFGNN: An interpretable and generalized graph neural network for deepfakes detection,"Khalid, F.; Javed, A.; Ain, Q.-U.; Ilyas, H.; Irtaza, A.",2023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150031931&partnerID=40&md5=3edfb1f198f3f130968e2c5e40bd4c42,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150031931&partnerID=40&md5=3edfb1f198f3f130968e2c5e40bd4c42
Scopus,Video face forgery detection via facial motion-assisted capturing dense optical flow truncation,"Yang, G.; Xu, K.; Fang, X.; Zhang, J.",2023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139500002&partnerID=40&md5=4e68234623468347addaa31a2254a450,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139500002&partnerID=40&md5=4e68234623468347addaa31a2254a450
Scopus,A Novel CNN-LSTM Approach for Robust Deepfake Detection,"Sagar, N.K.; Arukonda, S.",2025,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007157377&partnerID=40&md5=ddd8b78901a5058a5af5fbf4a5b91511,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007157377&partnerID=40&md5=ddd8b78901a5058a5af5fbf4a5b91511
Scopus,Hybrid Deep Learning for Detecting Fake Medical Images and Heart Sounds,"Soundarya, P.; Vijayalakshmi, R.; Dharshini, P.P.",2025,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007621674&partnerID=40&md5=5f5c40a5aa0ce64f83d8e0d9d2cae980,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007621674&partnerID=40&md5=5f5c40a5aa0ce64f83d8e0d9d2cae980
Scopus,Comparison of deepfake detection using CNN and hybrid models,"Winata, F.T.; Tanuwijaya, N.J.; Setiawan, R.; Rumagit, R.Y.",2025,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105023988519&partnerID=40&md5=0c48f5b82665f60e63eec80e3d65cf2a,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105023988519&partnerID=40&md5=0c48f5b82665f60e63eec80e3d65cf2a
Scopus,Comprehensive Exploration of Deepfake Detection Using Deep Learning,"Agrawal, P.; Jha, A.; Bhute, A.",2025,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208021779&partnerID=40&md5=f998b7a51f7e5f642415a4e889388342,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208021779&partnerID=40&md5=f998b7a51f7e5f642415a4e889388342
Scopus,Spatio-temporal knowledge distilled video vision transformer (STKD-VViT) for multimodal deepfake detection,"Usmani, S.; Kumar, S.; Sadhya, D.",2025,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214225264&partnerID=40&md5=7d077ea5dfba0abe84726b0ab1ed535c,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214225264&partnerID=40&md5=7d077ea5dfba0abe84726b0ab1ed535c
Scopus,3D-CADet: Leveraging 3D Channel Attention for Improving Deepfake Video Detection,"Niu, R.; Zhang, Y.",2025,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008489588&partnerID=40&md5=b4d3755624de977b6eeebe07f9c884f2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008489588&partnerID=40&md5=b4d3755624de977b6eeebe07f9c884f2
Scopus,Refining digital security with EfficientNetV2-B2 deepfake detection techniques,"Vivekananda, G.N.; Mahesh, T.R.; Gupta, M.; Thakur, A.; Sayal, A.",2025,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005518686&partnerID=40&md5=24dd609f49b296fea4135504fae60257,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005518686&partnerID=40&md5=24dd609f49b296fea4135504fae60257
Scopus,The future of misinformation control: integrating advanced algorithms and Blockchain for effective Deepfake detection,"Xu, S.; Yang, X.; Xie, Z.",2025,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010557399&partnerID=40&md5=10fbcfdb86275fa1658e739ba242f6f8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010557399&partnerID=40&md5=10fbcfdb86275fa1658e739ba242f6f8
Scopus,A Spatio-Temporal Deep Learning Approach for Efficient Deepfake Video Detection,"Khudhur, R.Z.; Mohammed, M.A.",2025,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014768493&partnerID=40&md5=ae4cd97a0dd94dd0274a85dd07694c87,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014768493&partnerID=40&md5=ae4cd97a0dd94dd0274a85dd07694c87
Scopus,Centroid-based Contrastive Consistency Learning for transferable deepfake detection,"Zha, R.; Lian, Z.; Li, Q.",2025,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001413488&partnerID=40&md5=f72b66751f969d1229e60a9c69bbae99,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001413488&partnerID=40&md5=f72b66751f969d1229e60a9c69bbae99
Scopus,Deepfake Detection Utilizing Enhanced Silicon-Based Physically Unclonable Functions Integrated with Photonic Crystal Fiber Sensor,"Babu, V.S.; Sathya, M.; Maheshwari, R.U.; Subha, K.J.",2025,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010591738&partnerID=40&md5=6d6839e3d34a1ddf89979ac92475145c,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010591738&partnerID=40&md5=6d6839e3d34a1ddf89979ac92475145c
Scopus,A Multimodal Deviation Perceiving Framework for Weakly-Supervised Temporal Forgery Localization,"Xu, W.; Wu, J.; Lu, W.; Luo, X.; Wang, Q.",2025,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105024076843&partnerID=40&md5=38b7f20dc18f1273e71edabd0fc77f1d,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105024076843&partnerID=40&md5=38b7f20dc18f1273e71edabd0fc77f1d
Scopus,HSFF-Net: Hierarchical spectral-feature fusion network for deepfake detection and localization,"Han, R.; Wang, X.; Bai, N.; Hou, J.; Zhang, W.; Li, J.",2025,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013114740&partnerID=40&md5=66d399fe80dc48060d8a44e3daa35710,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013114740&partnerID=40&md5=66d399fe80dc48060d8a44e3daa35710
Scopus,Leveraging temporal attention and bidirectional modeling for robust deepfake video detection,"Ben Jabra, M.; Cheikhrouhou, O.; BenAmor, A.",2025,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021244301&partnerID=40&md5=c9780b50f99ee54d84524e35d6c27c58,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021244301&partnerID=40&md5=c9780b50f99ee54d84524e35d6c27c58
Scopus,Multimodal Consistency-Driven Deepfake Detection,"Zhang, L.; Liu, B.; Chu, Q.; Yu, N.",2026,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105022185336&partnerID=40&md5=cf82fedb6880b93b0cf94a189f1253e8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105022185336&partnerID=40&md5=cf82fedb6880b93b0cf94a189f1253e8
Scopus,MobilKAN-H: Cross-Dataset Deepfake Detection Using a Hybrid MobileNet-LSTM-HMM-KAN Architecture,"Nguyen, N.M.; Thuan, N.D.",2026,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105023638416&partnerID=40&md5=6ebec32c52ff567c641b36fa8ca38ac1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105023638416&partnerID=40&md5=6ebec32c52ff567c641b36fa8ca38ac1
Scopus,Enhanced deepfake detection via dynamic data augmentation and spatiotemporal attention,"T.; Li, G.; Xiao, Y.; Tian, H.; Cao, Y.",2026,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105024347588&partnerID=40&md5=dfbab16a02c2f9e55ed2f36bf6dc384b,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105024347588&partnerID=40&md5=dfbab16a02c2f9e55ed2f36bf6dc384b
Scopus,3D data augmentation and dual-branch model for robust face forgery detection,"Zhou, C.; Li, F.W.B.; Song, C.; Zheng, D.; Yang, B.",2025,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216862698&partnerID=40&md5=067bae7db56f20def336a5b09deafefb,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216862698&partnerID=40&md5=067bae7db56f20def336a5b09deafefb
Scopus,Research on depth image tampering detection based on color space fusion,"Wen, C.; Zhao, H.; Cheng, W.",2025,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007656096&partnerID=40&md5=79518cf852d9f8dfcfb6bb7a761ffd78,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007656096&partnerID=40&md5=79518cf852d9f8dfcfb6bb7a761ffd78
Scopus,Enhanced Deepfake Detection Using Deep Learning on Large-Scale Video Data: A Fused ResNet50 and LSTM Approach,"Kumar, N.A.K.J.; Omkar Lakshmi Jagan, B.O.L.",2025,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010612239&partnerID=40&md5=08e8830074c17be1c96d0858d7b3d4ba,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010612239&partnerID=40&md5=08e8830074c17be1c96d0858d7b3d4ba
Scopus,Design and development of an efficient RLNet prediction model for deepfake video detection,"Bhandarkawthekar, V.; Navamani, T.M.; Sharma, R.; Shyamala, K.",2025,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011341559&partnerID=40&md5=098e7a288d8988a7ccfaa681982a7a03,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011341559&partnerID=40&md5=098e7a288d8988a7ccfaa681982a7a03
Scopus,A Deepfake Detection Model Based on Optical Flow Estimation,"Zou, B.; Tan, L.; Song, T.; Yin, H.; Jia, T.",2025,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013051396&partnerID=40&md5=8706d200858ab922e026072b31642b44,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013051396&partnerID=40&md5=8706d200858ab922e026072b31642b44
Scopus,A Deepfake Detection Method Based on Transformer Transformer Spatiotemporal Modeling,"Meng, C.; Guo, Y.",2025,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015591220&partnerID=40&md5=7ffadf4866e0e8739199c638d1b041bd,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015591220&partnerID=40&md5=7ffadf4866e0e8739199c638d1b041bd
IEEE Xplore,Deepfake Detection using a Two-Stream Capsule Network,Z. Joseph; C. Nyirenda,2021,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9577010
