source,title,authors,year,doi,url
IEEE Xplore,The Impact of Data Augmentation on Deepfake Detection: A Comparative Study of CNN and Transformer Models,N. H. Abdul Ameer; M. Al-Taee; A. S. T. Hussain; A. Hussian; H. Ali,2025,10.1109/ICMI65310.2025.11141228,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11141228
IEEE Xplore,Advancing Generalization in Deepfake Detection: Supervised Contrastive Representation Learning With Dual Stream Spatio-Temporal Features,S. Son; W. Kim,2025,10.1109/ACCESS.2025.3598782,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11124838
IEEE Xplore,"Deepfake Generation, Detection and Datasets: a Rapid-review",A. KoÇak; M. Alkan,2022,10.1109/ISCTURKEY56345.2022.9931802,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9931802
IEEE Xplore,Development of AI/ML-based solution for detection of face-swap based deepfake videos and AI-generated videos,S. Jayanth Sai Chethan; J. Chand; K. Bhakta; M. J. K. Bhai; P. Piruthiviraj,2025,10.1109/InC465408.2025.11256330,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11256330
IEEE Xplore,Investigating the Impact of Visual Attention Models in Face Forgery Detection,A. Yadav; D. K. Vishwakarma,2023,10.1109/ICAISC58445.2023.10199338,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10199338
IEEE Xplore,Comparative Study: Deepfake Detection in Tamil Speech using Hybrid Convolutional Networks,M. F. M; B. M. G.,2025,10.1109/WiSPNET64060.2025.11005318,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11005318
IEEE Xplore,Deepfake Video Detection: Analysis for Deep Learning models using Transfer Learning,S. Altamimi; W. Salameh,2024,10.1109/ACIT62805.2024.10877153,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10877153
IEEE Xplore,Deep fake Image Detection Based on Deep Learning Using a Hybrid CNN-LSTM with Machine Learning Architectures as Classifier,O. A. H. H. Al-Dulaimi; S. Kurnaz,2024,10.1109/HORA61326.2024.10550728,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10550728
IEEE Xplore,Incorporating Psychological and Behavioral Cues for Enhanced Deepfake Detection,P. Agrawal; A. Shaikh; K. Bajaj; J. Mahajan,2025,10.1109/OTCON65728.2025.11071123,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11071123
IEEE Xplore,AVT$^{2}$-DWF: Improving Deepfake Detection With Audio-Visual Fusion and Dynamic Weighting Strategies,R. Wang; D. Ye; L. Tang; Y. Zhang; J. Deng,2024,10.1109/LSP.2024.3433596,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10609529
IEEE Xplore,Investigating voiced and unvoiced regions of speech for audio deepfake detection,G. Sivaraman; H. Tak; E. Khoury,2025,10.1109/ICASSP49660.2025.10890861,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10890861
IEEE Xplore,STC-CapsNet: Detecting Audio Deepfakes with Spatio-Temporal Convolutions and Capsule Networks,T. M. Wani; S. A. A. Qadri; I. Amerini,2025,10.1109/CISM64958.2025.11060861,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11060861
IEEE Xplore,Video Normalization in Identifying Fake Videos Using a Long Short-Term Memory Model,K. Thakkar; D. Lo,2023,10.1109/SoutheastCon51012.2023.10115139,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10115139
IEEE Xplore,AI-Powered Real-Time Misinformation Detection a Deep Learning Framework for Combating Fake News and Deepfakes,D. N. Rao; K. Mouneshwari; P. R. Kiran; Y. J. N. Kumar; A. Soy; T. Srihari,2025,10.1109/ICMCTC62214.2025.11196119,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11196119
IEEE Xplore,Enhanced Deepfake Detection with LSTM and ResNeXt Integration,H. Singh; R. Kumar; M. Gupta; N. Y. Joshi,2025,10.1109/ICDT63985.2025.10986702,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10986702
IEEE Xplore,Audio Deepfake Detection: End-to-End training with powerful pretrained ASR,K. H. Mansoor; M. Alam,2024,10.1109/INMIC64792.2024.11004412,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11004412
IEEE Xplore,Flexible Multi-Modality Deepfake Identification with Dynamic Learning and Cross-Modality Inconsistency,E. J. J; K. K. P; M. S. M; R. J,2025,10.1109/ICAECA63854.2025.11012276,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11012276
IEEE Xplore,Deep Learning Based Deepfake Video Detection System,A. K. Jha; A. K. Yadav; A. K. Dubey; A. Kumar; A. Sharma,2025,10.1109/ICDT63985.2025.10986738,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10986738
IEEE Xplore,Review: DeepFake Detection Techniques using Deep Neural Networks (DNN),H. Chotaliya; M. A. Khatri; S. Kanojiya; M. Bivalkar,2023,10.1109/ICAST59062.2023.10454938,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10454938
IEEE Xplore,A Deepfake detection technique using Recurrent Neural Network and EfficientNet,S. P. Koritala; M. Chimata; S. N. Polavarapu; B. S. Vangapandu; T. K. Gogineni; V. M. Manikandan,2024,10.1109/ICCCNT61001.2024.10723875,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10723875
IEEE Xplore,Detecting Deepfake Videos using Face Recognition and Neural Networks,M. A. Murugan; T. Mathu; S. J. Priya,2024,10.1109/ICC-ROBINS60238.2024.10534025,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10534025
IEEE Xplore,Enhancing Deepfake Detection Through Hybrid MobileNet-LSTM Model with Real-Time Image and Video Analysis,V. S. Anandhasivam; A. K. Anusri; M. Logeshwar; R. Gopinath,2024,10.1109/ICUIS64676.2024.10867159,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10867159
IEEE Xplore,Deepfake Detection: Demodulate Synthetic Videos Using Deep Learning Models,P. Hirpara; H. Valangar; V. Kachhadiya; U. Chauhan,2025,10.23919/INDIACom66777.2025.11115707,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11115707
IEEE Xplore,Deep Fake Detection using Adversarial Ensemble Techniques,B. V. Chowdary; M. Prabhakar; M. Akhil; K. Pavan; B. P. T. Reddy,2024,10.1109/ICISC62624.2024.00041,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10677707
IEEE Xplore,Robust AI-Synthesized Speech Detection Using Feature Decomposition Learning and Synthesizer Feature Augmentation,K. Zhang; Z. Hua; Y. Zhang; Y. Guo; T. Xiang,2025,10.1109/TIFS.2024.3520001,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10806877
IEEE Xplore,DAF-Net: A Data-Analytics-Driven Adaptive Framework for Deepfake Detection Using Hybrid Deep Learning Models,R. PushpaLakshmi,2025,10.1109/ACROSET66531.2025.11280662,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11280662
IEEE Xplore,A Deepfake Detection Model Based on the Integration of ResNet50 and LSTM,X. Huang; Y. Zheng; X. Jiang,2025,10.1109/ICETCI64844.2025.11084255,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11084255
IEEE Xplore,A Dual-Stream CNN-LSTM Framework with ELA Preprocessing for Deepfake Detection,N. N. Nadarajan; A. R. Trivedi; S. K; M. M; G. Kolagatla; S. Rana; N. M,2025,10.1109/SENNET64220.2025.11135952,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11135952
IEEE Xplore,"Deepfake Audio Detection: a Multi Model, Multi Dataset Performance Study Using Deep Learning Architectures",A. Bhardwaj,2025,10.1109/ICICNCT66124.2025.11232782,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11232782
IEEE Xplore,"DEFENDAI: Enhancing Deepfake Detection with Hybrid Architectures using EfficientNet, XceptionNet, Vision Transform and LSTM",M. Kavitha; R. Raushan; Priya; R. Kumar,2025,10.1109/ICSSAS66150.2025.11081343,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11081343
IEEE Xplore,ResNeXt-50 and LSTM for Deepfake Detection,F. Kamil; E. M. Maharani; R. Rahmania,2025,10.1109/ICoAILO66760.2025.11156046,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11156046
IEEE Xplore,Video Integrity Detection with Deep Learning,C. R; A. V. R; P. R,2024,10.1109/ICACCS60874.2024.10717096,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10717096
IEEE Xplore,Frame-to-Utterance Convergence: A Spectra-Temporal Approach for Unified Spoofing Detection,A. Khan; K. M. Malik; S. Nawaz,2024,10.1109/ICASSP48485.2024.10447500,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10447500
