Title,Sources,From_Scopus,From_IEEE_Xplore,From_ScienceDirect
Deepfake Detection via Spatial-Frequency Attention Network,"IEEE Xplore, Scopus",1,1,0
Deepfake Forensics Leveraging MobileNetV2 for High Precision Detection,IEEE Xplore,0,1,0
Deepfake Video Authentication Based on Blockchain,IEEE Xplore,0,1,0
Deepfake Video Detection Using Ada-Boosting on the DFDC Dataset,ScienceDirect,0,0,1
Deepfake Video Detection Using the Frequency Characteristic of Remote Photoplethysmography,Scopus,1,0,0
Deepfake Video Detection on Social Networks Using Multi-domain Aware Driven by Common Mechanism Analysis Between Artifacts; 伪影间共性机理驱动的多域感知社交网络深度伪造视频检测,Scopus,1,0,0
Deepfake Voice Detection: Countering Deepfake Audio with Deep Learning Architectures,IEEE Xplore,0,1,0
Deepfake detection based on Spatio-Temporal Fusion,"IEEE Xplore, Scopus",1,1,0
Deepfake detection based on cross-domain local characteristic analysis with multi-domain transformer,Scopus,1,0,0
Deepfake detection method based on multi-feature fusion of frequency domain and spatial domain; 基于频域和空域多特征融合的深度伪造检测方法,Scopus,1,0,0
"Deepfake video detection methods, approaches, and challenges",ScienceDirect,0,0,1
"Deepfakes in digital media forensics: Generation, AI-based detection and challenges",ScienceDirect,0,0,1
Detecting Deepfakes in Alternative Color Spaces to Withstand Unseen Corruptions,IEEE Xplore,0,1,0
Detecting facial manipulated images via one-class domain generalization,Scopus,1,0,0
Detection Of Deepfake Images,IEEE Xplore,0,1,0
Detection of Deepfake Medical Images Based on Spatial and Frequency Domain Analysis,"IEEE Xplore, Scopus",1,1,0
Detection of Diffusion Model-Generated Faces by Assessing Smoothness and Noise Tolerance,IEEE Xplore,0,1,0
DiffSeg: Towards Detecting Diffusion-Based Inpainting Attacks Using Multi-Feature Segmentation,IEEE Xplore,0,1,0
Diffusion-Aware Deepfake Detection via Kernel PCA on Noise Residuals for Semantic Communication,IEEE Xplore,0,1,0
Disruptive Attacks on Face Swapping via Low-Frequency Perceptual Perturbations,IEEE Xplore,0,1,0
Dodging DeepFake Detection via Implicit Spatial-Domain Notch Filtering,"IEEE Xplore, Scopus",1,1,0
Domain Generalization via Aggregation and Separation for Audio Deepfake Detection,IEEE Xplore,0,1,0
EDL-Det: A Robust TTS Synthesis Detector Using VGG19-Based YAMNet and Ensemble Learning Block,IEEE Xplore,0,1,0
EmoSense: A multimodal sentiment-aware framework for music short video AI-generated content detection,ScienceDirect,0,0,1
End-to-end Audio Deepfake Detection from RAW Waveforms: a RawNet-Based Approach with Cross-Dataset Evaluation,IEEE Xplore,0,1,0
Enhancing Deepfake Detection Through Dynamics of Facial Expressions,"IEEE Xplore, Scopus",1,1,0
Enhancing Resilience of Deepfake Detection using Adversarial Frequency Masking,Scopus,1,0,0
Evading Deepfake Detectors via Adversarially Degrading and Restoring Forged Images,"IEEE Xplore, Scopus",1,1,0
Explainable deepfake detection across different modalities: An overview of methods and challenges,ScienceDirect,0,0,1
Exploiting Facial Relationships and Feature Aggregation for Multi-Face Forgery Detection,IEEE Xplore,0,1,0
Exploring the Adversarial Robustness of CLIP for AI-generated Image Detection,IEEE Xplore,0,1,0
Exploring the Impact of Moire Pattern on Deepfake Detectors,IEEE Xplore,0,1,0
"Exploring the Landscape of Compressed DeepFakes: Generation, Dataset and Detection",ScienceDirect,0,0,1
Exposing Audio-Visual Forgeries in Frequency Domain,Scopus,1,0,0
Extending the theory of information poverty to deepfake technology,ScienceDirect,0,0,1
FA3-CLIP: Frequency-Aware Cues Fusion and Attack-Agnostic Prompt Learning for Unified Face Attack Detection,IEEE Xplore,0,1,0
FAClue: Exploring Frequency Clues by Adaptive Frequency-Attention for Deepfake Detection,"IEEE Xplore, Scopus",1,1,0
FALCON: Frequency-Aware Lightweight Convolutional Optimized Network,"IEEE Xplore, Scopus",1,1,0
FCD-Net: Learning to Detect Multiple Types of Homologous Deepfake Face Images,"IEEE Xplore, Scopus",1,1,0
FDS_2D: rethinking magnitude-phase features for DeepFake detection,Scopus,1,0,0
FETNet: frequency-enhanced transformer network for face forgery detection,Scopus,1,0,0
FLAG: frequency-based local and global network for face forgery detection,Scopus,1,0,0
FTA-DFI: a framework for generalizable deepfake detection based on distinctive features from various manipulations compared to genuine images,Scopus,1,0,0
FTDKD: Frequency-Time Domain Knowledge Distillation for Low-Quality Compressed Audio Deepfake Detection,IEEE Xplore,0,1,0
Face Forgery Detection Algorithm Based on Improved MobileViT Network,IEEE Xplore,0,1,0
Face Forgery Detection via Multi-Feature Fusion and Local Enhancement,IEEE Xplore,0,1,0
Face Swapping Attack Detection Using Multistream Feature Embeddings,IEEE Xplore,0,1,0
Face forgery detection with a fused attention mechanism,IEEE Xplore,0,1,0
FairSSD: Understanding Bias in Synthetic Speech Detectors,IEEE Xplore,0,1,0
Fake Face Detection Based on Fusion of Spatial Texture and High-Frequency Noise,IEEE Xplore,0,1,0
Fighting Deepfake by Exposing the Convolutional Traces on Images,IEEE Xplore,0,1,0
Fourier-Based GAN Fingerprint Detection Using ResNet50,"IEEE Xplore, Scopus",1,1,0
Frame-to-Utterance Convergence: A Spectra-Temporal Approach for Unified Spoofing Detection,IEEE Xplore,0,1,0
FreqDebias: Towards Generalizable Deepfake Detection via Consistency-Driven Frequency Debiasing,IEEE Xplore,0,1,0
FreqFaceNet: an enhanced transformer architecture with dual-order frequency attention for deepfake detection,Scopus,1,0,0
Frequency Domain Filtered Residual Network for Deepfake Detection,Scopus,1,0,0
Frequency domain deepfake detection based on two-stream neural network,Scopus,1,0,0
Frequency-Assisted Temporal Upsampling Artifacts Representation Learning for Face Forgery Detection,IEEE Xplore,0,1,0
Frequency-Domain Masking and Spatial Interaction for Generalizable Deepfake Detection,Scopus,1,0,0
From Deepfakes to Digital Truths: The Role of Watermarking in AI-Generated Image Verification,IEEE Xplore,0,1,0
GASGM-GFT: Gaussian Attenuation Singing Graph Model and Graph Fourier Transform for Singing Voice Deepfake Detection,IEEE Xplore,0,1,0
GC-ConsFlow: Leveraging Optical Flow Residuals and Global Context for Robust Deepfake Detection,IEEE Xplore,0,1,0
GTA-Net: A Robust Method for Deepfake Face Image Detection,IEEE Xplore,0,1,0
GenAI mirage: The impostor bias and the deepfake detection challenge in the era of artificial illusions,ScienceDirect,0,0,1
Generalizable Audio Deepfake Detection via Latent Space Refinement and Augmentation,IEEE Xplore,0,1,0
Generalizable Deepfake Detection With Phase-Based Motion Analysis,IEEE Xplore,0,1,0
Generalizable face forgery detection based on adaptive spatial-frequency information mining,Scopus,1,0,0
"Generation and detection of manipulated multimodal audiovisual content: Advances, trends and open challenges",ScienceDirect,0,0,1
Guardian AI: Synthetic Media Forensics through Multimodal Fusion and Advanced Machine Learning,IEEE Xplore,0,1,0
HSFF-Net: Hierarchical spectral-feature fusion network for deepfake detection and localization,Scopus,1,0,0
Harmonizing Dynamic Frequency Analysis with Attention Mechanisms for Efficient Facial Image Authenticity Detection,"IEEE Xplore, Scopus",1,1,0
HiTAL: Hierarchical Thumbnail and Latent Augmentation for Deepfake Detection,IEEE Xplore,0,1,0
Hierarchical supervisions with two-stream network for Deepfake detection,Scopus,1,0,0
